OBJECTID,SOURCE_ID,geography_fx,gis_fx,giscience_fx,geoscience_fx,geospatial_fx,CLUSTER_ID,IS_SEED,STATE,Program,INSTITUTION,IN_GUIDE,deptlabor_stat,lat,long
19,19,23,6,0,0,3,5,0,DC,M,George Washington University,Y,,38.90050888,-77.05011749
20,20,14,21,0,0,0,4,0,Delaware,D,University of Delaware,Y,,39.66688919,-75.75276184
21,21,10,1,0,0,0,1,0,Florida,B,Jacksonville University,N,,30.35317039,-81.60418701
22,22,6,5,2,0,4,1,0,Florida,D,Florida State University,N,,30.44072914,-84.29087067
23,23,7,6,0,0,7,6,0,Florida,M,University of Miami,N,,25.71756935,-80.27758026
24,24,8,5,0,1,3,1,0,Georgia,B,University of West Georgia,N,,33.57379913,-85.09873962
25,25,15,5,6,0,4,2,0,Georgia,D,University of Georgia,Y,,33.9571991,-83.37406158
26,26,29,2,0,1,4,5,0,Georgia,M,Georgia Southern University,Y,,32.42681122,-81.78423309
27,27,13,3,0,0,0,1,0,Hawaii,B,"University of Hawaii, Hilo",N,,19.69877052,-155.0808258
28,28,12,1,0,0,6,6,0,Hawaii,D,University of Hawaii at Moana,Y,,21.29937935,-157.8201599
29,29,2,0,2,0,1,1,0,Iowa,D,University of Iowa,Y,,41.66252136,-91.53650665
30,30,16,4,0,0,0,1,0,Iowa,M,University of Northern Iowa,Y,,42.51311111,-92.46208954
31,31,15,25,0,0,2,4,0,Idaho,D,University of Idaho,Y,1,46.72819138,-117.006897
32,32,12,0,3,0,0,1,0,Illinois,B,Northwestern University,N,,41.89530182,-87.61605072
33,33,9,7,0,0,0,1,0,Illinois,D,Northern Illinois University,Y,,41.93101883,-88.76215363
34,34,24,3,0,0,4,5,1,Illinois,M,"Southern Illinois Universiy, Edwardsville",Y,2,38.6213913,-90.16210175
35,35,52,13,3,0,5,5,0,Indiana,B,Valparaiso University,Y,,41.46345139,-87.04464722
36,36,37,19,0,0,1,4,0,Indiana,D,Indiana University,Y,,39.17351151,-86.51605225
37,37,13,5,0,4,1,1,0,Indiana,M,Indiana State University,N,,39.46812057,-87.40706635
